,description
58,"Responsibilities: • Oversees and manages all aspects of daily office operations. • Supervises and trains office staff to ensure efficient and effective performance. • Develops and implements office policies and procedures to maintain a productive work environment. • Assists with Administrative tasks such as managing the company’s various business accounts and ensuring annual permits are up to date. • Assist with clerical tasks such as data entry, answering phones, and taking customer phone orders. • In charge of confidential documents and information. • Collaborate with other departments to support cross-training and functionality. • Manage all aspects of Human Resources operations including but not limited to Verification of Employment, maintaining employee records, EEO-1 reporting, 5500 Audits, I-9 maintenance, 2810.5 notices, Terminations and New Hiring. • Managing hourly employee payroll for both locations. • Work with Workers Compensation company on various claims and annual audits. • Manage employee benefits.Qualifications: 
• Proven experience in Office management or a similar role. • 5 or more years Payroll experience, Paychex preferred. • Human Resources experience • Strong knowledge of office procedures and systems, including VOIP phone systems, file management, and administrative procedures. • Excellent supervisory skills and time management skills to handle multiple tasks simultaneously. • Proficient in Microsoft Office 365(Word, Excel, Teams) and other relevant software applications • Strong communication skills both verbally and written, with the ability to interact with effectively with individuals at all levels of the organization. • Detail Oriented with a high level of accuracy in work output. • Ability to adapt to changing priorities and work duties when under pressure."
59,"🚀 Exciting Opportunity Alert! (no previous experience required) 
Are you a social media enthusiast looking to turn your passion into profit? Look no further! We're on the hunt for talented individuals to join our team as Social Media Coordinators.
Position: Social Media CoordinatorCompany: bagel bossLocation: Remote (Work from anywhere in the world)Language: EnglishTime Commitment: Just 3+ hours per weekResponsibilities:Curate and upload captivating images to the company's Instagram account.Engage with followers and maintain a vibrant online presence.Collaborate with the marketing team to develop creative content strategies.Requirements:Access to a smartphone, tablet, or computer.Reliable internet connection.No prior experience necessary! We provide full training.Don't miss out on this incredible opportunity to kickstart your career in the dynamic world of social media. Apply now before the deadline at midnight tonight!Salary: Up to $150/day
Application Requirements:CV and passion for social media"
60,"Role:Equity Capital Markets Associate for Institutional Sales / Coverage
Duties will include:Candidate will develop and seek new Institutional buy side relationshipsCandidate will support senior members on Non-deal and deal roadshowsCandidate to work closely with senior members on book building and seeking demand for active capital markets transactions - registered direct offerings, secondary offerings, PIPEs and syndicate offerings
Requirements:1+ year(s) of experience in Equity Capital MarketsSeries 7 License
To learn more about A.G.P./Alliance Global Partners, please visit: https://www.allianceg.com/"
61,"NeuroJust and BioJust are growing and we’re looking for someone special to join our New Orleans team as a Front Desk Administrator.
Responsibilities/Skills:
1. Assist medical staff in daily clinic operations2. Greet current and prospective patients at the front desk3. Assisting patients with onboard process and intake forms4. Assisting patients with check-in & check-out process5. Scheduling patient appointments based on practitioner availability6. Accepting patients payments for services7. Answer clinic phone calls and route to appropriate staff7. Perform Inventory of medical supplies and over the counter medication8. Other clerical duties
To apply, send a resume to info@neurojust.com"
62,"Do you have a background in the Social Security realm?
Do you love helping people?
Are you organized and enjoy being on the phone?
Do you quickly connect with others and build trust in relationships?
If so, The Medicare Coach is ready to hire you for their rapidly expanding company.
The Medicare Coach uses their expertise to help people navigate the complex world of Retirement as it pertains to Social Security and Medicare decisions. We help celebrities, doctors, teaches, and everyone in between.Our goal is to help our clients do what’s best for them to protect their retirement savings while still having access to the best healthcare in the country.
You are the ideal candidate for this full-time position if you have a history in Social Security, passion for helping people, a positive attitude, and a hunger for learning. (You DO NOT need any knowledge about Medicare -- we will train you!!) You look forward to spending most of your time emailing or on the phone with clients, managing processes and keeping others on track.
Your mature voice is naturally confident, and you can easily build a trusting relationship with people. You’re naturally empathetic and comfortable talking about emotional situations (like a widowed spouse or a catastrophic illness), while also maintaining the appropriate amount of professional distance.
You thrive when you have a great deal of autonomy and know how to hold yourself accountable. You are detail-orientated, organize your time well, and naturally keep yourself on track. You also enjoy working with a team and helping each other problem-solve when a client’s situation is tricky to ensure you aren’t missing something.
Former teaching or health care experience is a plus but not required.
Offer Details
This is a full-time remote position. In-person training will be done in Colorado Springs or Denver. Company hours are 8 a.m. to 5 p.m. MT.
Responsibilities (tasks associated with the role)
Help clients understand Social Security and Medicare rules to protect their health care rights and retirement savings.Research and provide recommendations to help clients make the right Medicare decisions, including when to join Medicare and which plans are best for them.Answer client Social Security and Medicare questions via phone and email.Provide client confidence as they go through an overwhelming and life changing event.
Requirements (expected proficiencies to excel in this role)
This position is for a person who:Has 5+ years of adult work experience (post-college if you graduated)CoachableReady to learn basic Medicare and insurance principlesGenuine interest and ability to connect with seniorsHighly organized and detail-orientedCalm demeanor and can work under the pressure of tight deadlinesExceptional customer service skillsDesire to help clients with life-altering decisionsConfident communication and presentation skillsHigh level of integrityCompassionate in difficult conversationsDesire to work in a dynamic, fun, and fast-paced team environment
Additional RequirementsKnowledge of PowerPoint, Word, and ExcelAbility to type at least 50 WPMBasic math skillsBased in the United StatesReliable phone and internet connectionWilling to show up to work looking professional “on top” (professional Zoom dress required)
This position is NOT for someone who:Lives internationallyHas difficulty not emotionally taking work home with themWants a serious, “all business” work environmentNeeds to be micro-managedIs not a team player
Current TeamCEO & IntegratorConcierge (client onboarding) & administrative assistantMarketing AssistantCustomer Success CoordinatorSystems ManagerCoach team (currently 5)
About the Company
The Medicare Coach’s core focus is to educate, guide and advise people to help them easily make the right Medicare decisions to protect their healthcare and finances.
The Medicare Coach is the only advisory service of its kind, being completely unbiased in our guidance and providing simplified, expert level knowledge that brings complete peace of mind to our clients. The Medicare Coach has clients in all 50 states, the Virgin Islands and even 10 countries!
Learn more about the company
The cultural pillars of the company include:Strive for Excellence - We will strive for continuous improvement. We will produce the best products and deliver the best services that we are capable of providing.Pursue learning, growth, and change - We will challenge our knowledge, the process, the product, and our opinions. We will foster an environment of team spirit, never challenging the person, but challenging the problem or opportunity. We will look for new opportunities to learn and grow. We will speak up when we do not understand or do not agree with others. We strive to be known as thought leaders and innovators in Medicare.Community of inclusion - We create respectful relationships with both our clients and colleagues, while providing a trusted space for people of all genders, ethnicities, sexual preferences, and health conditions.Passion for helping - We enjoy helping people. We strive to make our clients feel heard so we can help them reach their goals. We go the extra step (within reason) to help solve a problem or answer a question for our clients and company.
Job Type: Full-timePay: $19.00 - $25.00 per hour
Benefits:401(k)401(k) matchingDental insuranceHealth insurancePaid time offVision insurance
Compensation package:Bonus opportunities
Weekly schedule:Monday to Friday
Work setting:Hybrid work"
63,"JOB OVERVIEW:
The BCBA will provide support to individuals and their families by coordinating and providing services in Applied Behavior Analysis, function analyses and assessment, behavior acquisition and reduction procedures, and adaptive life skills.
A BCBA will also oversee the programming of associate behavior analysts and provide ongoing support as it relates to the implementation and documentation associated with Behavior Support Plans. 
RESPONSIBILITIES:Assist in the development, facilitation, and follow-up training in Applied Behavior Analysis, using both discrete trial training and natural environment training models of teaching. Facilitate and assist in the development and identification of resources and support information for clients and their familiesAssist in the development and implementation of assessment tools, to conduct functional assessments and analyses when appropriate, and to develop appropriate behavior strategies to teach appropriate behavior and reduce maladaptive behaviors.Provide ongoing support and training to direct support professionals, ABA implementers, and other individuals in support roles for families. Implementation of ABA principles and methodology and behavior reduction strategies. Create an ongoing data collection system to establish baseline and programmatic efficacy for all consumers, and to analyze data on a frequent and ongoing basis to guide programming. Develop behavior plans/treatment plans for all consumers with a focus on teaching and other antecedent strategies for reducing problematic behavior(s). Review and sign off on behavior plan/treatment plan training for all field staff and provide field supervision when necessary. Provide consultation services and to maintain ongoing communication with all constituents (other supports, parents, community, and community agencies). Maintain all data, paperwork, and communication between personal care staff and families, and to provide ongoing feedback to government-related agencies that contract with such families. QUALIFICATIONS:Master’s degree in Special Education or related human services field; Successful completion of internship and/or formal training in the analysis of behavior and instructional strategies training related to working with clients who have pervasive developmental disorders and related disorders, their parents, and other agencies working with clientAbility to demonstrate competence in behavior management skill, instructional skills, oral and written communication, organizational skills, and interpersonal relationsAbility to work with a variety of clients with age, functionality, and with minimal directionCertified as a BCBA for a minimum of 2 yearsA driver's license is an advantage
If interested, kindly respond to this job posting or send us an email for appropriate action of your application. We do not accept phone calls for any posted jobs, hence phone calls shall not be entertained."
64,"Position: Lead Installer with BWE Home Theater
Company Overview
Join our team at BWE Home Theater, a leading provider of home theater solutions committed to delivering exceptional audiovisual experiences to our clients. We specialize in designing, installing, and maintaining cutting-edge home entertainment systems, creating immersive environments that exceed expectations. We're seeking a talented Lead Installer to play a pivotal role in our mission to transform spaces into ultimate entertainment hubs.
Position Overview
We are currently seeking a skilled Lead Installer with a passion for technology and a keen eye for detail. The Lead Installer will be responsible for overseeing the installation process of home theater systems, ensuring quality workmanship, and providing top-notch customer service. This role requires strong technical expertise, leadership capabilities, and excellent communication skills to collaborate effectively with clients and team members.
Responsibilities
Lead and supervise installation teams to ensure projects are completed efficiently and to the highest standards.Perform site assessments and collaborate with clients to understand their requirements and preferences.Plan and organize installation schedules, resources, and materials to meet project deadlines.Install, configure, and calibrate audiovisual equipment, including speakers, projectors, screens, amplifiers, and control systems.Troubleshoot technical issues and provide solutions to optimize system performance.Conduct thorough quality checks to ensure installations meet company standards and client expectations.Provide comprehensive training to clients on system operation and functionality.Maintain accurate documentation of installation processes, equipment inventory, and project updates.Uphold safety protocols and compliance with industry regulations during all installations.
Qualifications
Minimum of 3 years of experience in audiovisual installation, preferably in a residential setting.Proven leadership skills with the ability to motivate and mentor installation teams.Strong technical proficiency in home theater equipment and systems integration.Excellent problem-solving abilities and attention to detail.Effective communication skills, both verbal and written, with the ability to interact professionally with clients and team members.Knowledge of electrical wiring, networking, and construction principles.Knowledge and experience with power tools, hand tools, ladders, etc.You will be expected to provide certain tools (examples: tool bag, hammer, basic hand tools, basic power tools, etc.) A comprehensive list of tools can be provided during the onboarding processAbility to work independently and adapt to changing project requirements.Valid driver's license and clean driving record.
Benefits
Competitive pay commensurate with experience.Benefits available, including health insurance and dental insurance (details will be discussed during the interview process)Opportunities for professional development and career advancement.Dynamic and collaborative work environment with a focus on innovation and creativity.Employee discounts on home theater products and services.
Join Our Team
If you are passionate about technology and delivering exceptional audiovisual experiences, we invite you to apply for the Lead Installer position at BWE Home Theater. Take the next step in your career and become part of our dedicated team committed to transforming homes into ultimate entertainment destinations. Apply now and embark on an exciting journey with us!"
65,"Job Position: Registered Nurse $56.41 per hour

Location: Murrieta, CA 92564

Pay Rate: $56.41/hr.

Shift: AM & NOC

T&T is seeking an ER Registered Nurse to join our team! We have Per-Diem and Contract opportunities available with ASAP Starts, being offered at some of the top-rated Acute Care facilities in the Inland Empire.

Responsibilities:

Assessment, diagnosis, and treatment of assigned patients.

Administer nursing care to ill, injured, or disabled patients.

Diagnose and establish patient treatment plans Monitor and report changes in patient symptoms or behavior.

Communicate with collaborating physicians or specialists regarding patient care Educate patients about health maintenance and disease prevention.

Facilitate referrals to other healthcare professionals and medical facilities.

Maintain accurate patient medical records.

Provide advice and emotional support to patients and their family members.

Qualifications:

Previous Experience In Nursing Or Other Medical Fields

Familiarity with medical software and equipment

Ability to build rapport with patients.

Strong problem-solving and critical thinking skills

Ability to thrive in a fast-paced environment.

#T&T PandoLogic. Keywords: Registered Nurse (RN), Location: Murrieta, CA - 92564"
66,"Williams Lea is hiring for a Workflow Coordinator Hospitality for our San Antonio office to work Monday to Friday 8:00 am to 5:00 pm with some evenings for events!Pay: $18.00/hourBenefits:Various health insurance options & wellness plans (Medical, Dental, Vision, Prescription Drug)401k Retirement Savings Plan Including Employer MatchPaid Time Off (PTO)Life InsurancePaid Parental LeaveShort-term & Long-term DisabilityHealthcare & Dependent Care Flexible Spending AccountsDomestic Partner CoverageCommuter BenefitsLegal AssistanceEmployee Assistance Program (EAP)Additional Employee Perks and DiscountsJob duties(* denotes an ""essential function"")

* Check conference room and meeting scheduler throughout shift and make note of any changes to ensure meetings are set-up accurately.*Set up conference rooms according to client's request, including audio/visual equipment, food, beverages, utensils, ice, etc.* Clean up conference rooms after use and return property to vendors if necessary.* Prepare coffee and other beverages in assigned kitchens each morning.* Clean up coffee makers in each kitchen in the evening.Communicate with supervisor or client on meeting request concerns or deadline issues.Maintain inventory of catering supplies and order supplies as needed.*Place orders for food and beverages for use during meetingsAssist in training new hires.* Prioritize work flow.Assist in process improvement ideas.Answer telephone in hospitality center.Adhere to Williams Lea Tag policies in addition to client site policies.Use equipment and supplies in a cost efficient manner.Must be able to lift up to 50 lbs. on a regular basis.Provide back-up support to Reception and/or Office Services as needed.Job qualificationsHigh school diploma or equivalent.Minimum (1) year professional experience preferably in hospitality, restaurant or housekeeping industry.Able to make independent decisions that conform to business needs and policy.Strong interpersonal communication skills required.Excellent organizational skills required.Must be able to meet deadlines and complete all projects in a timely manner.Strong attention to detail is required.Must work well in a team environment.Professional attire and demeanor required.Catering Experience PreferredGood written communication skills.Good problem solving skills, with the ability and understanding of when to escalate a problem to a supervisory level.Ability to work in a fast paced, high energy environment.Ability to work on multiple projects simultaneously.Ability to operate basic audio/visual equipment.Professional telephone demeanor.Ability to anticipate client's needs for meetings and events.Must be self-motivated with positive can do attitude.Proven customer service skills are required in order to create, maintain and enhance customer relationships.Who we are: In a rapidly changing world, the ability to innovate and break new ground drives progress. Williams Lea has harnessed this ability for more than 200 years.Our 5,200+ talented employees worldwide are experts in delivering efficient business processes in complex and highly regulated environments.We're always progressing. Connecting technology with expertise and strong processes to transform support services. As we enter our third century, we continue helping businesses thrive in a future driven by digitization and virtualization.It is the policy of Williams Lea to ensure equal employment opportunity without discrimination or harassment on the basis of race, color, creed, religion, national origin, alienage or citizenship status, age, sex, sexual orientation, gender identity of expression, marital or domestic/civil partnership status, disability, veteran status, genetic information, or any other basis protected by law.Williams Lea is a drug-free workplace and performs pre-employment substance abuse testing.#piqPandoLogic. Keywords: Meeting and Convention Supervisor, Location: SAN ANTONIO, TX - 78212"
67,"Hiring for May 2024!

Join Bartlett Roofing on our bold mission to revolutionize the Roofing and Construction industry as we transition away from traditional high-pressure sales tactics in favor of our solutions-oriented, consultative approach. Bartlett Roofing in residential and commercial storm damage restoration, we collaborate with homeowners and insurance carriers to replace roofs affected by recent weather-related events. Since 2015, we've assisted over 8,000 property owners in obtaining storm-damaged roof replacements through their insurance carriers, saving them from substantial out-of-pocket expenses.

We invite you to become a valuable part of our team dedicated to providing better solutions, security, and peace of mind to our communities. The ideal candidate will pave the way for a fulfilling long-term career with outstanding growth potential!

Job Type: Full-time, 40 hours/week.

Compensation structure: We provide each sales representative with a first-class 12-week paid training program.

Following training, the expected cash compensation for this position ranges from $70,000 - $150,000 annually based on sales performance. Monthly bonus opportunities available!

Why Bartlett? Landed a spot on the Inc. 5000 Rank List for 3 consecutive years, 2021, 2022, & 2023!Nominated for 2022 Inc. Best Workplaces AwardA BBB Accredited Business with an A+ RatingUnlimited career growth opportunity - we pride ourselves on promoting leadership from within!Leadership Development Book Clubs - we are serious about wanting you to grow and we want to create an environment where you can meet with like-minded individuals to stimulate that!Outstanding Company Culture - office luncheons, team outings, company events, annual company celebrations, quarterly recognition parties, etc. We like to have FUN and celebrate our success! What You'll Do Own the entire sales cycle from initial inspection to close. You’ll drive our sales and growth which will be critical to the success of the company.Identify potential customers and leads through prospectingEngage our prospective customers, outline how we can improve their situation, and tell them our story.Lead inspections and adjuster meetings with proper documentation and thorough communication.Close deals and drive our growth with each contract.Wear many hats - we need someone who can do many things well with little hand-holding and can easily pivot as priorities shift. We provide the nuts and bolts through extensive training, but you must be able to think on your feet and adapt to changing circumstances. Who You Are 1-2 years of sales experience is strongly preferred.A high level of ownership, confidentiality, and attention to detail.Highly disciplined and internally motivated.Strong competitive drive with relentlessly high standards.Bold, persistent, a good listener, and persuasive.Strong written and verbal communication skills.Easily develops a comfortable rapport and establishes relationships with a variety of individuals.Exceptional organizational skills and great follow-through on tasks.Technology proficient and able to utilize mobile applications.Being bilingual is a plus!Experience with insurance is a plus! What’s in it For You Medical/ HSA/ Vision/ Dental benefits package with generous employer contribution.401k with up to 3% Company Matching.Energetic, creative, and supportive work culture!Earnings paid weeklyA highly encouraged work-life balance. We don’t want you to miss your son’s baseball game, your daughter’s dance recital, or your annual hunting trip!Paid Training - we’re serious about preparing you for your career and ensuring you feel confident in your industry knowledge and sales etiquette!Flexible Schedule.Monthly bonuses.Preliminary draw payouts.Uncapped Commission Structure.Annual Top Performers Trip - all-inclusive! We’ve visited Cancun, Cabo, and Jamaica so far - you don’t want to miss out on this!Company Gear.Extensive hands-on training with leadership. Bartlett History

Bartlett Roofing began its journey in 2015 with a vision to redefine the standards of roofing excellence. From our humble beginnings, we have grown into a trusted name synonymous with reliability and professionalism. Over the years, our team of dedicated roofing experts has successfully completed countless projects, earning us a stellar reputation in the industry.What sets Bartlett Roofing apart is not just our expertise but also our dedication to creating a positive and collaborative work environment. We believe in fostering a culture of growth, where each team member is valued and given opportunities for professional development. As a part of the Bartlett Roofing family, you'll find a supportive team that shares your passion for delivering exceptional roofing solutions.

If you have experience in any of the following areas, we would like to consider you for this role! SDR - outside sales - inside sales - call center - automotive sales - used car - pharmaceutical sales - solar - industry - vacation - travel - insurance - adjuster - mortgage servicing - mortgage processing – real estate - retail - customer service - dealerships - collections - startups - owner/operator - service writer - exteriors - doors - windows - project manager

Our Project Managers act as educators, sales representatives, and insurance specialists.#PIQSW PandoLogic. Keywords: Sales Representative, Location: Ogden, UT - 84244"
68,"Pay Range: $40-$70/Hour

By using the GoTu app, you can find local temporary and permanent opportunities and get peace of mind with guaranteed payment. Our platform allows hygienists to work when they want, where they want, and for how much they want.

Whether you're looking to find your forever job, get some extra cash for that upcoming vacation, expand your skill set, GoTu is the platform for you.

Designed with the help of a 30-year hygienist, our community of thousands of verified dental professionals has worked over 200,000 shifts since our launch in 2019 and proved that GoTu is the #1 app for dental hygienists.

WHY CHOOSE GoTu?

Occupational accident and malpractice insuranceFull control over when/where you work and how much you charge for your servicesNo time commitments mean you can have the flexibility to build the career you want on your termsExpress pay option allows you to get paid within a day of working the shiftGuaranteed pay means you'll never have to chase down another check after your shift or have your hours reducedCancellation protection up to 4 days prior to your shift with guaranteed payWe put the high touch with the high tech, so our live and knowledgeable support team is here to help you along the wayAccess to GoTu's endless library of educational resources and free live webinars allows you to advance your career more efficiently than ever before

Dental Hygienist Job Responsibilities

Promotes dental health by completing dental prophylaxis, providing oral cancer screening and radiographic studies, charting conditions of decay and disease, and performing procedures in compliance with the Dental Practice Act.Prepares patients for dental hygiene treatment by welcoming, seating, and draping patients.Provides information to patients and employees by answering questions and requests.Maintains instrumentation for dental hygiene treatment by sharpening, sterilizing, and selecting instruments.Selects materials and equipment for dental hygiene visits by evaluating patients' oral health.Completes dental prophylaxis by cleaning deposits and stains from teeth and from beneath gum margins.Detects disease by completing oral cancer screening, feeling and visually examining gums, using probes to locate periodontal disease and to assess levels of recession, and exposing and developing radiographic studies.Arrests dental decay by applying fluorides and other cavity-preventing agents.PandoLogic. Keywords: Dental Hygienist, Location: Huntington, NY - 11743"
69,"Integrity is one of the nation’s leading independent distributors of life, health and wealth insurance products. With a strong insurtech focus, we embrace a broad and innovative approach to serving agents and clients alike. Integrity is driven by a singular purpose: to help people protect their health and wealth so they can be ready for the good days ahead.

Headquartered in Dallas, Texas, Integrity is committed to meeting Americans wherever they are — in person, over the phone or online. Integrity’s employees support hundreds of thousands of independent agents who serve the needs of millions of clients nationwide. For more information, visit IntegrityMarketing.com.

About The Role

We are seeking a highly motivated FP&A Analyst to join our growing FP&A department at Integrity Marketing Group. The FP&A Analyst will be part of the Shared Services FP&A team and provide support for all FP&A efforts, including financial and business analysis, annual budgeting, forecasting, financial modeling, and strategic planning. The FP&A Analyst will also play a “hands-on” role in developing and implementing financial planning processes and tools. This position reports to the Manager of Financial Planning & Analysis.

Responsibilities Assists with the preparation of monthly financial models, performance reviews, and variance analysis against budget and prior yearParticipates in the annual budget and forecasting process for all assigned business units including relevant analysis and documentation of major variances, initiatives, risks, opportunities, etc.Produce KPI reporting and root cause trends in KPIs.Develop process improvements to increase efficiency and accuracy Provide financial and strategic support to senior management and business unit leadership, including preparing financial presentations and other projects. Act as a trusted advisor to the business unit to help drive growthSupport and guide business units with analytics and business intelligence tools to enable insightsSummarize, document and present analysis findings at various levels of the organizationWork cross-functionally with a number teams across the orgnization including but not limited to: Accounting team on variance analysis and monthly reporting, Sales ops on revenue modelling and tracking, People and Culture teams on headcount metrics and recruiting, and Department leaders on budgeting and forecast updates from prior months' results Develop business cases, scenario analyses, and financial models, as neededContribute to initiatives to define and improve planning processes, drive automation, and streamline deliverables. Compare actual results with forecasted/budgeted to analyze and identify risks and opportunities.Perform ad-hoc business analysis for leadership team to further inform business decisions.

Requirements Bachelor’s degree in Business, Accounting, Finance or Economics.1 - 3 years of experience in FP&A, or similar field.Familiarity with BI tools, such as Power BI and Tableau preferred.Advanced Excel experience preferredInsurance experience is a plus.Familiarity with OneStream and NetSuite is a plus.Experience with SQL preferred but not required.Highly motivated problem solver with the ability to think critically.Self-starter with an innate curiosity and drive to understand insurance industry environment and data.Results-oriented and self-directed, able to work independently with minimal supervision.Cross-functional collaboration skills to promote alignment across the organization.High standards of accuracy and precision with a strong attention to detail.Excellent interpersonal skills, and a strong work ethic.Excellent written, verbal, quantitative, and presentation skills; collaborative and organized.Ability to work in-office full time.

Integrity offers you the opportunity to start a career in a family-like environment that is rewarding and cutting edge. Why? Because we put our people first! At Integrity, you can start a new career path at company you’ll love, and we’ll love you back. We’re proud of the work we do and the culture we’ve built, where we celebrate your hard work and support you daily.

Joining us means being part of a hyper-growth company with tons of professional opportunities for you to accelerate your career. Integrity offers our people a competitive compensation package, including benefits that make work more fun and give you and your family peace of mind.

Integrity Marketing Group, LLC is an Equal Opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, gender identity, national origin, disability, veteran status, or any other characteristic protected by federal, state, or local law. In addition, Integrity Marketing Group, LLC will provide reasonable accommodations for qualified individuals with disabilities

PandoLogic. Keywords: Financial Planning Analyst, Location: Dallas, TX - 75254"
70,"About RevatureRevature is one of the largest and fastest-growing employers of emerging technology talent across the U.S. As a Revature Oracle Financial Technology Associate you will have the opportunity to gain valuable experience and learn tailored skills to become an important, effective engineer for a Fortune 500 company. This is no boot camp – there is no professional experience required and we are paying you to learn on the job.
Benefits for Oracle Financial Technology Associate:Launch a career with no prior experience.Don't waste time and money searching for a job – get started now.Competitive salaryHealth, vision, and dental insurancePTO, life insurance, and 401kValuable experience with the largest US companiesCareer acceleration: over 72% of Revature alumni have received an additional promotion and 92% saw their salary significantly increase after launching their tech career with RevatureWhat We Are Looking For:Bachelor’s degree in a business concentrationNo professional experience is needed.Impressive communication and interpersonal skillsA natural problem solverLegally authorized to work in the United StatesOpen to nationwide relocation – please ask about Revature’s relocation assistance programs.Fast-track your tech career and work for a company that invests in you—whose own success is dependent on your success."
71,"We're growing! Caffeinate Your Career™ at MZB!

As one of the largest coffee roasters in North America, you will have an important role helping us reach millions of coffee drinkers daily.

Position Summary:

This is highly skilled position requiring mechanical and electrical work in the maintenance and repair of light to medium duty packaging and processing equipment, including building equipment. Project entail the maintenance and building of conveyors, blowers, sifters, burners, grinders, conventional and high-speed packaging machines, labeling and printing equipment, vacuum and hydraulic pumps, forklifts, and air compressors.

The person in this role will work independently, with minimal supervision applying mechanical/electrical knowledge and considerable independent judgment in the repair, overhaul, and remanufacturing of plant equipment.

Job Duties:

Inspect, repair, and perform overhauls on mechanical drives/motors, pneumatic and hydraulic components, motor control center devices, transport conveyor systems, and rotating, cutting, and grinding equipmentTroubleshoot, repair, and conduct performance testing of production machineryPerform preventive and predictive maintenance on facility machineryTroubleshoot and repair motor control centers, electromechanical drives, and sub-electrical panels utilizing volt and amp metersUse micrometers, calipers, dial indicators, and other precision instruments to determine working clearances on mechanical, pneumatic, and hydraulic componentsIdentify proper materials required for repairs such as how to measure belts, chain, and fasteners and fill out order forms as requiredPerform machine shop duties such as general metal fabrication, welding, and machining

establish work orders and requisition/order parts

Requisition shop supplies and equipment such as replacement parts, hardware, lubricants, tools, testing instrumentsProvide technical input to write and maintain standard operating procedures and job safety analystsComplete daily maintenance and repair logsPerform related work as assigned or required

Qualifications & Requirements:

Basic mechanical and electrical skills within a manufacturing or industrial environment requiredMust have acquired vocational/technical certifications, hands-on training or completion of apprenticeship program(s) and/or completed military training programs with work-related experienceAssociate Degree or 1-2 years of experience desiredBasic reading, writing, and arithmetic skills required; high school diploma or equivalent work experienceMust have excellent communication skills--both verbally and writtenDemonstrated ability to identify basic mechanical and electrical partsProven ability to perform basic computer applications such as Word and OutlookProof of previous fork truck driving experience a plus

Food Safety Requirements and Responsibilities:

Must comply with all Federal, State, Corporate, Warehouse and Food Safety standards, policies, and guidelines (i.e. HACCP, GMP, SQF, FDA, etc.)

Physical Demands:

Must be willing and able to frequently lift 25 lbs.Must be willing and able to work in a non-climate-controlled environment

Equal Opportunity Employer: disability / veteran. All qualified candidates will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or veteran status.

Massimo Zanetti Beverage USA is proud to be an equal opportunity employer and we are committed to creating an inclusive workplace environment for our family of employees. MZB-USA recruits and advances qualified applicants without regard to race, ethnic or national origin, gender, sexual orientation, genetic information, age, religion, marital status, military service, veteran status, political affiliation, disability, or any other status protected by law. MZB-USA also prohibits discrimination and harassment of any kind and is fully dedicated to the safety of its workforce.

General Statement

This is a description of the general duties and level of work performed by employees assigned to this position. It in no way states or implies these are the only duties to be performed. Employees will be required to perform other duties as assigned. This position requires ongoing training in accordance with the attached Job Training Matrix.

Massimo Zanetti Beverage USA (MZB-USA) is the largest fully integrated coffee company in the US delivering innovative solutions for the home, office, and foodservice with a long tradition of exceptional quality. Parent company, Massimo Zanetti Beverage Group, is a world leader in the production of roasted coffee and other products such as professional espresso machines and office coffee brewers. The Group is comprised of fifty companies and manages different activities from the procurement of coffee to its consumption, and operates multiple manufacturing and distribution facilities across Europe, Asia, and the Americas. Its flagship brand Segafredo Zanetti® is known globally and includes a network of over 300 espresso cafés. PandoLogic. Keywords: Maintenance Mechanic, Location: Suffolk, VA - 23439"
